country,isic2,upstreamness,downstreamness,u_n,u_d,d_n,d_d,dd_logU,centrality
KHM,26,2.015194214477462,2.21612101211526,101571.1677478887,47048.19897799536,164610.5635874893,58308.15413833265,.7007156,.909334
KHM,27,2.059785661389273,2.412666381153243,186212.7384931101,86254.51108102263,301784.8985493971,106897.7659881657,.72260195,.85373831
KHM,28,1.801114420253796,2.829836346029457,101579.8682177385,47053.02996681585,164637.504415577,58317.42082864552,.58840561,.636473
KHM,29,1.503787346431241,2.623926271949324,26179.02017409916,14480.28138387517,115490.3121191482,35574.9891553782,.40798682,.57310581
KHM,30,1.522250053706869,2.54802888096057,17991.99847483984,9950.236969145959,79363.76399445688,24445.02687882446,.42018953,.5974226
KHM,31,1.693249033881269,2.334229228157739,15622.04194929241,8115.396515291726,29153.14117820387,10785.34935106478,.52664918,.72539961
KHM,32,1.693249033881269,2.334229228157739,15622.04194929241,8115.396515291728,29153.14117820387,10785.34935106478,.52664918,.72539961
KHM,33,1.693249033881269,2.334229228157739,15622.04194929241,8115.396515291726,29153.14117820387,10785.34935106478,.52664918,.72539961
KHM,35,1.492424137282804,2.639753128431916,32113.68041589961,16235.83946014855,55432.89725345334,22554.08752025418,.40040174,.56536502
KHM,36,1.544624703689109,2.608391142305138,32114.97274248817,16233.70343617442,55402.50977554732,22541.02794514038,.43478099,.59217525
KHM,37,1.544624703689109,2.608391142305138,32114.97274248817,16233.70343617442,55402.50977554731,22541.02794514037,.43478099,.59217525
KHM,38,1.590884282482606,2.649299107162193,31977.74238533924,16090.10062081554,68458.35319768688,26364.79814032853,.46429002,.60049254
KHM,39,1.544624703689109,2.608391142305138,32114.97274248817,16233.70343617442,55402.50977554732,22541.02794514037,.43478099,.59217525
KHM,41,1.299875490723188,2.199081501511553,119064.139485389,77377.50580495413,236059.7736845482,108488.9927432949,.26226848,.59109926
KHM,42,1.299875490723188,2.199081501511553,119064.139485389,77377.50580495413,236059.7736845482,108488.9927432949,.26226848,.59109926
KHM,43,1.299875490723188,2.199081501511553,119064.139485389,77377.50580495413,236059.7736845482,108488.9927432949,.26226848,.59109926
KHM,45,1.906644072993681,1.910488352556657,128290.4982105567,80334.71082438478,154274.2893127562,86416.7854133207,.64534467,.99798781
KHM,46,1.90664407299368,1.910488352556657,128290.4982105568,80334.71082438478,154274.2893127562,86416.78541332069,.64534467,.99798781
KHM,47,1.906644072993681,1.910488352556657,128290.4982105567,80334.71082438478,154274.2893127562,86416.78541332069,.64534467,.99798781
KHM,49,2.228550276728224,2.141315740008776,149933.1199170107,67059.18776540685,89953.64754819132,44113.78373074517,.80135125,.9608559
KHM,50,1.996975644890938,2.150810182954215,148029.7206920515,66245.8086150392,88917.61178015114,43630.93761607818,.69163388,.92847598
KHM,51,2.025609317506008,2.329206281987518,148045.5585744236,66253.27552687156,88963.37301278854,43647.27783109103,.70587057,.86965644
KHM,52,2.31825763148036,2.057340680865899,148321.9026454327,66365.07676076406,89001.47763942952,43673.40172148373,.8408159,.88745129
KHM,53,2.535173351618484,1.716452687003456,271491.6345764822,121475.1189799099,162943.6768141872,79965.04856664401,.93026203,.67705536
KHM,55,1.5586976094637,2.218293676118527,62547.97107796101,48608.7033340132,175243.5262582146,83390.84510322766,.44385061,.70265609
KHM,56,1.893051794166645,2.334875007200867,113699.1312143038,88278.07298045132,318327.3548041623,151459.5939740635,.63819021,.81077224
KHM,58,1.791320673951802,2.078501592154608,200.0105715188798,111.7470885091733,263.7451595465062,127.2169329483238,.58295316,.86183274
KHM,59,1.791320673951802,2.078501592154608,200.0105715188798,111.7470885091733,263.7451595465062,127.2169329483238,.58295316,.86183274
KHM,60,1.791320673951802,2.078501592154608,200.0105715188798,111.7470885091733,263.7451595465062,127.2169329483238,.58295316,.86183274
KHM,61,1.932078667664465,1.9154061910191,134936.9344443766,63624.48094857207,77146.41555218375,42162.94809563434,.65859646,.99137068
KHM,62,1.868603366007497,1.918238718055558,92821.16251890479,43771.79806183028,53091.38411517029,29014.7633129989,.62519127,.97412449
KHM,63,1.868603366007496,1.918238718055558,92821.16251890478,43771.79806183028,53091.38411517029,29014.7633129989,.62519127,.97412449
KHM,64,1.712372130503924,1.531102016789603,845804.8323632519,419006.2600625627,525738.3434543988,298968.8842335299,.53787965,.89414096
KHM,65,1.5190154831321,1.658490524930621,1549946.033287208,767819.158979618,963536.2727066564,547878.9541277193,.41806242,.91590244
KHM,66,1.5190154831321,1.658490524930621,1549946.033287208,767819.158979618,963536.2727066564,547878.9541277193,.41806242,.91590244
KHM,68,1.428538513001879,1.66445934465037,1545.13677469804,1139.749880570981,2052.925901222253,1291.093041043934,.3566519,.8582598
KHM,69,1.971869601549389,2.113878116250492,817.7687099991626,390.6885732806502,678.5822279187508,314.7055637568408,.67898214,.93282086
KHM,70,1.971869601549389,2.113878116250492,817.7687099991628,390.6885732806502,678.582227918751,314.7055637568408,.67898214,.93282086
KHM,71,1.971869601549389,2.113878116250492,817.7687099991628,390.6885732806502,678.5822279187508,314.7055637568408,.67898214,.93282086
KHM,72,1.971869601549389,2.113878116250492,817.7687099991628,390.6885732806502,678.5822279187508,314.7055637568408,.67898214,.93282086
KHM,73,1.971869601549389,2.113878116250492,817.7687099991626,390.6885732806502,678.5822279187507,314.7055637568408,.67898214,.93282086
KHM,74,1.971869601549389,2.113878116250492,817.7687099991628,390.6885732806502,678.5822279187507,314.7055637568408,.67898214,.93282086
KHM,75,1.971869601549389,2.113878116250492,817.7687099991628,390.6885732806502,678.5822279187507,314.7055637568408,.67898214,.93282086
KHM,77,1.625443477253604,1.867004788667718,300.8517944584988,184.1329071536738,336.6590054257916,180.8040846849482,.48578069,.8706156
KHM,78,1.625443477253604,1.867004788667718,300.8517944584988,184.1329071536738,336.6590054257916,180.8040846849482,.48578069,.8706156
KHM,79,1.625443477253604,1.867004788667718,300.8517944584988,184.1329071536738,336.6590054257916,180.8040846849482,.48578069,.8706156
KHM,80,1.625443477253604,1.867004788667718,300.8517944584988,184.1329071536738,336.6590054257916,180.8040846849482,.48578069,.8706156
KHM,81,1.625443477253604,1.867004788667718,300.8517944584988,184.1329071536738,336.6590054257916,180.8040846849482,.48578069,.8706156
KHM,82,1.625443477253604,1.867004788667718,300.8517944584988,184.1329071536738,336.6590054257916,180.8040846849482,.48578069,.8706156
