hs4,year,month,pred_exposure,notif_count
0704,2022,2,0.01456241434177728,1
0704,2022,6,0.004262465835787175,1
0704,2022,10,0.010649778424730466,1
0704,2023,1,0.0048404272932357564,1
0704,2023,3,0.005173182751701754,1
0704,2023,6,0.006885659860016249,1
0704,2023,8,0.011328770670495822,1
0704,2023,10,0.015344581171208974,2
0704,2024,6,0.005051432940255702,1
0704,2024,7,0.005412249428179426,1
0704,2024,9,0.008797109805056135,1
0704,2025,1,0.009118293872746396,2
0704,2025,7,0.00768026861500201,2
0704,2025,8,0.009393583615907477,2
0704,2025,9,0.054940227432260354,4
0704,2025,11,0.0031998385847506403,1
0706,2021,3,0.014683397634028535,2
0706,2021,4,0.011822841818620608,1
0706,2021,6,0.04727891389226179,3
0706,2021,8,0.03700376898958087,3
0706,2021,11,0.009511727405816362,1
0706,2022,2,0.015742914284924716,1
0706,2022,6,0.004608001991998517,1
0706,2022,10,0.011513101121768406,1
0706,2023,1,0.0052328158086539164,1
0706,2023,3,0.0055925460386503575,1
0706,2023,6,0.007443844847924629,1
0706,2023,8,0.01224713577250256,1
0706,2023,10,0.016588487351536944,2
0706,2024,6,0.00546092659692755,1
0706,2024,7,0.005850992619542692,1
0706,2024,9,0.009510246197209023,1
0706,2025,1,0.009857467003365136,2
0706,2025,7,0.008302868442927273,2
0706,2025,8,0.010155073068430227,2
0706,2025,9,0.05939394876157497,4
0706,2025,11,0.003459233021601836,1
0707,2021,3,0.01778397696588923,2
0707,2021,4,0.014319379738544528,1
0707,2021,6,0.0572624358877054,3
0707,2021,8,0.044817568233439124,3
0707,2021,11,0.011520245198484476,1
0707,2022,2,0.019067223540295605,1
0707,2022,6,0.005581038076266406,1
0707,2022,10,0.013944233498177626,1
0707,2023,1,0.006337788986397577,1
0707,2023,3,0.0067734806623734965,1
0707,2023,6,0.009015703899917116,1
0707,2023,8,0.014833268559829037,1
0707,2023,10,0.02009134972106174,2
0707,2024,6,0.006614068162746228,1
0707,2024,7,0.007086501405668662,1
0707,2024,9,0.011518451214529867,1
0707,2025,1,0.011938991948538688,2
0707,2025,7,0.010056120852957911,2
0707,2025,8,0.012299441180926225,2
0707,2025,9,0.07193570881995238,4
0707,2025,11,0.004189692461453292,1
0708,2021,3,0.013510331183474843,2
0708,2021,4,0.010878307083997207,1
0708,2021,6,0.04350176986279695,3
0708,2021,8,0.034047513153729954,3
0708,2021,11,0.008751829146252988,1
0708,2022,2,0.014485202341008578,1
0708,2022,6,0.004239865633123995,1
0708,2022,10,0.010593311778430084,1
0708,2023,1,0.0048147626563757855,1
0708,2023,3,0.0051457537978740146,1
0708,2023,6,0.0068491511079695954,1
0708,2023,8,0.01126870391032891,1
0708,2023,10,0.01526322201019487,2
0708,2024,6,0.005024649521317599,1
0708,2024,7,0.005383552908687453,1
0708,2024,9,0.008750466272391247,1
0708,2025,1,0.009069947376280356,2
0708,2025,7,0.007639546733843601,2
0708,2025,8,0.00934377749390396,2
0708,2025,9,0.05464892649938122,4
0708,2025,11,0.003182872583545971,1
0709,2021,3,0.014347722101318041,2
0709,2021,4,0.011552561136687694,1
0709,2021,6,0.04619807585992661,3
0709,2021,8,0.03615782991080202,3
0709,2021,11,0.009294280855397744,1
0709,2022,2,0.015383017258996535,1
0709,2022,6,0.0045026589670428725,1
0709,2022,10,0.011249901387720265,1
0709,2023,1,0.005113188983996177,1
0709,2023,3,0.005464695460907959,1
0709,2023,6,0.007273671932430559,1
0709,2023,8,0.011967155353319112,1
0709,2023,10,0.01620925977305852,2
0709,2024,6,0.005336084956715588,1
0709,2024,7,0.0057172337230391645,1
0709,2024,9,0.009292833508536897,1
0709,2025,1,0.009632116538166102,2
0709,2025,7,0.008113057483837956,2
0709,2025,8,0.00992291906382441,2
0709,2025,9,0.05803615025422422,4
0709,2025,11,0.0033801518772892344,1
0803,2021,3,0.02293929642060093,2
0803,2021,4,0.01847036222615775,1
0803,2021,6,0.07386199347385683,3
0803,2021,8,0.05780953745775176,3
0803,2021,11,0.014859798792638965,1
0803,2022,2,0.024594537743027858,1
0803,2022,6,0.0071989008426908965,1
0803,2022,10,0.01798646647970259,1
0803,2023,1,0.008175022970905228,1
0803,2023,3,0.008737015405014316,1
0803,2023,6,0.011629226949475274,1
0803,2023,8,0.019133220034694566,1
0803,2023,10,0.025915543391975385,2
0803,2024,6,0.008531391511713463,1
0803,2024,7,0.009140776365232452,1
0803,2024,9,0.014857484758506583,1
0803,2025,1,0.015399934210216334,2
0803,2025,7,0.012971245831562138,2
0803,2025,8,0.01586487249720215,2
0803,2025,9,0.09278883744687835,4
0803,2025,11,0.0054042241208913195,1
0804,2021,3,0.023611529121559893,2
0804,2021,4,0.01901163346915149,1
0804,2021,6,0.07602650830730018,3
0804,2021,8,0.0595036374333514,3
0804,2021,11,0.015295263006315176,1
0804,2022,2,0.02531527704700167,1
0804,2022,6,0.007409863570958005,1
0804,2022,10,0.018513557229159917,1
0804,2023,1,0.008414590814285024,1
0804,2023,3,0.008993052353852829,1
0804,2023,6,0.011970019731388582,1
0804,2023,8,0.019693916228079734,1
0804,2023,10,0.026674994571810242,2
0804,2024,6,0.008781402682662327,1
0804,2024,7,0.00940864546950645,1
0804,2024,9,0.015292881159753571,1
0804,2025,1,0.015851227012702945,2
0804,2025,7,0.013351366279036846,2
0804,2025,8,0.016329790247669253,2
0804,2025,9,0.0955080006536339,4
0804,2025,11,0.005562594112314065,1
0806,2021,1,0.05203933157575489,2
0806,2021,3,0.027380533380018855,2
0806,2021,4,0.02204637667178736,1
0806,2021,6,0.08816228452453524,3
0806,2021,7,0.07354141589005614,2
0806,2021,8,0.10608217359223299,4
0806,2021,11,0.017736778382479987,1
0806,2021,12,0.03531624443168734,1
0806,2022,2,0.06432150843046518,2
0806,2022,3,0.03574166672966155,1
0806,2022,4,0.011459841179978334,1
0806,2022,5,0.0205786121625681,1
0806,2022,6,0.023679266476423495,2
0806,2022,7,0.022132092726251988,1
0806,2022,8,0.04610230768607654,2
0806,2022,9,0.05316198400762043,2
0806,2022,10,0.021468794718298764,1
0806,2023,1,0.04887750066927435,2
0806,2023,3,0.010428573638548702,1
0806,2023,6,0.013880741189078774,1
0806,2023,8,0.02283756921841443,1
0806,2023,10,0.03093300630912378,2
0806,2024,2,0.022414453949753815,1
0806,2024,6,0.010183139263796158,1
0806,2024,7,0.010910506050341108,1
0806,2024,9,0.03467005756561693,2
0806,2024,12,0.014479409170782278,1
0806,2025,1,0.06537416640323679,5
0806,2025,3,0.0075065166467993836,1
0806,2025,7,0.01942490402113258,2
0806,2025,8,0.039310683487419416,2
0806,2025,9,0.13258839628078334,5
0806,2025,11,0.013390825797616818,1
0807,2021,3,0.021622172014605777,2
0807,2021,4,0.017409834281900686,1
0807,2021,6,0.06962099878526198,3
0807,2021,8,0.054490239808477954,3
0807,2021,11,0.014006581531782396,1
0807,2022,2,0.02318237298777325,1
0807,2022,6,0.006785555645767946,1
0807,2022,10,0.016953722774592502,1
0807,2023,1,0.007705630968765165,1
0807,2023,3,0.008235355022128063,1
0807,2023,6,0.010961502083064173,1
0807,2023,8,0.01803463223972019,1
0807,2023,10,0.024427529371390925,2
0807,2024,6,0.008041537604638691,1
0807,2024,7,0.008615932907977197,1
0807,2024,9,0.014004400364446631,1
0807,2025,1,0.014515703550867096,2
0807,2025,7,0.01222646516577109,2
0807,2025,8,0.014953946094712307,2
0807,2025,9,0.08746110462698925,4
0807,2025,11,0.005093925349970814,1
0808,2021,1,0.03884723710524178,2
0808,2021,3,0.027430287672761518,2
0808,2021,4,0.022086438049103096,1
0808,2021,6,0.0883224878358519,3
0808,2021,7,0.054898491845103314,2
0808,2021,8,0.09680763250740393,4
0808,2021,11,0.017769008611588585,1
0808,2021,12,0.026363492373211398,1
0808,2022,2,0.0555110748390125,2
0808,2022,3,0.026681069105633542,1
0808,2022,4,0.008554744152679372,1
0808,2022,5,0.01536188497756466,1
0808,2022,6,0.019870391778726296,2
0808,2022,7,0.01652155451920668,1
0808,2022,8,0.034415262908838506,2
0808,2022,9,0.039685294472369376,2
0808,2022,10,0.021507806547704022,1
0808,2023,1,0.038978288272068354,2
0808,2023,3,0.010447523828397063,1
0808,2023,6,0.01390596445449224,1
0808,2023,8,0.022879068304230376,1
0808,2023,10,0.030989215946458232,2
0808,2024,2,0.016732336500192232,1
0808,2024,6,0.01020164346475303,1
0808,2024,7,0.010930331979385843,1
0808,2024,9,0.030408955994931344,2
0808,2024,12,0.010808844467619047,1
0808,2025,1,0.05349481240681352,5
0808,2025,3,0.005603596802317884,1
0808,2025,7,0.01845365105723694,2
0808,2025,8,0.03418017510701104,2
0808,2025,9,0.12725445832618665,5
0808,2025,11,0.011643164910538923,1
0809,2021,3,0.019459176378139702,2
0809,2021,4,0.01566822407003524,1
0809,2021,6,0.06265639243224583,3
0809,2021,8,0.04903925408622433,3
0809,2021,11,0.01260541911782201,1
0809,2022,2,0.02086330108409906,1
0809,2022,6,0.00610675578963511,1
0809,2022,10,0.015257740134248693,1
0809,2023,1,0.0069347904560545,1
