country,hs4,date,import_value,year,month,log_import,growth,growth_3m,pred_exposure,notif_count
Vietnam,2712,2022-04-01,11385.0,2022,4,9.340139809511028,-1.753748867320942,-0.0875674610019103,0.0,
Vietnam,2712,2022-05-01,115273.0,2022,5,11.65506718212945,2.3149273726184223,2.555546645258511,0.0,
Vietnam,2712,2022-06-01,58033.0,2022,6,10.968784324672963,-0.6862828574564865,-0.1251043521590062,0.0,
Vietnam,2712,2022-08-01,30077.0,2022,8,10.31154928649156,-0.6572350381814047,0.971409476980531,0.0,
Vietnam,2712,2022-09-01,29146.0,2022,9,10.280107270530456,-0.0314420159611028,-1.374959911598994,0.0,
Vietnam,2712,2022-10-01,15152.0,2022,10,9.625953811136162,-0.6541534593942941,-1.3428305135368015,0.0,
Vietnam,2712,2022-11-01,0.0,2022,11,0.0,-9.625953811136162,-10.31154928649156,0.0454835999971344,1.0
Vietnam,2712,2022-12-01,4247.0,2022,12,8.354203562921775,8.354203562921775,-1.925903707608681,0.0,
Vietnam,2712,2023-01-01,25975.0,2023,1,10.16492831378268,1.8107247508609063,0.5389745026465196,0.0,
Vietnam,2712,2023-02-01,62873.0,2023,2,11.048888002702997,0.8839596889203154,11.048888002702997,0.0,
Vietnam,2712,2023-03-01,28320.0,2023,3,10.25135885791871,-0.7975291447842867,1.897155294996935,0.0,
Vietnam,2712,2023-04-01,28133.0,2023,4,10.24473408831764,-0.0066247696010695,0.0798057745349591,0.0,
Vietnam,2712,2023-05-01,387199.0,2023,5,12.866696634384558,2.621962546066918,1.8178086316815616,0.0,
Vietnam,2712,2023-06-01,182908.0,2023,6,12.11674404038538,-0.7499525939991774,1.865385182466671,0.0,
Vietnam,2712,2023-07-01,66538.0,2023,7,11.105543520905284,-1.0112005194800968,0.8608094325876436,0.0,
Vietnam,2712,2023-08-01,18883.0,2023,8,9.846070281666178,-1.2594732392391066,-3.0206263527183808,0.0,
Vietnam,2712,2023-09-01,18400.0,2023,9,9.820160289946374,-0.0259099917198035,-2.296583750439007,0.0,
Vietnam,2712,2023-10-01,12972.0,2023,10,9.470625553571011,-0.3495347363753609,-1.634917967334271,0.0,
Vietnam,2712,2023-11-01,35475.0,2023,11,10.476611690496345,1.0059861369253298,0.6305414088301653,0.0,
Vietnam,2712,2023-12-01,29324.0,2023,12,10.286195673521677,-0.190416016974666,0.4660353835753028,0.0,
Vietnam,2712,2024-01-01,55353.0,2024,1,10.921504202914962,0.635308529393285,1.4508786493439487,0.0,
Vietnam,2712,2024-02-01,247561.0,2024,2,12.419416334670236,1.4979121317552746,1.942804644173893,0.0331921222488492,1.0
Vietnam,2712,2024-03-01,86754.0,2024,3,11.370843333035772,-1.0485730016344643,1.0846476595140953,0.0,
Vietnam,2712,2024-04-01,195266.0,2024,4,12.182123131773462,0.8112797987376901,1.2606189288585004,0.0,
Vietnam,2712,2024-05-01,109887.0,2024,5,11.607216944257148,-0.574906187516314,-0.8121993904130882,0.0,
Vietnam,2712,2024-06-01,203147.0,2024,6,12.22169005642525,0.6144731121681026,0.8508467233894788,0.0,
Vietnam,2712,2024-07-01,31521.0,2024,7,10.358440993735488,-1.863249062689764,-1.8236821380379755,0.0,
Vietnam,2712,2024-08-01,108643.0,2024,8,11.595831760965975,1.2373907672304902,-0.0113851832911713,0.0,
Vietnam,2712,2024-09-01,43263.0,2024,9,10.675076159402636,-0.9207556015633412,-1.546613897022615,0.0,
Vietnam,2712,2024-10-01,152927.0,2024,10,11.937722501377884,1.2626463419752485,1.5792815076423974,0.0,
Vietnam,2712,2024-11-01,196107.0,2024,11,12.186420806864817,0.2486983054869327,0.5905890458988399,0.0,
Vietnam,2712,2024-12-01,111274.0,2024,12,11.619759893884057,-0.5666609129807618,0.9446837344814192,0.0,
Vietnam,2712,2025-01-01,127764.0,2025,1,11.75794791800288,0.1381880241188255,-0.1797745833750035,0.0,
Vietnam,2712,2025-02-01,187117.0,2025,2,12.139494712872594,0.3815467948697133,-0.0469260939922229,0.0,
Vietnam,2712,2025-03-01,136557.0,2025,3,11.82450471178404,-0.3149900010885549,0.204744817899984,0.0,
Vietnam,2712,2025-04-01,106355.0,2025,4,11.574547236526396,-0.2499574752576414,-0.183400681476483,0.0,
Vietnam,2712,2025-05-01,82011.0,2025,5,11.314620857002938,-0.2599263795234598,-0.8248738558696562,0.0,
Vietnam,2712,2025-06-01,51259.0,2025,6,10.844665999918062,-0.4699548570848755,-0.9798387118659768,0.0,
Vietnam,2712,2025-07-01,61963.0,2025,7,11.034308850226251,0.189642850308191,-0.5402383863001443,0.0,
Vietnam,2712,2025-08-01,119191.0,2025,8,11.688490917267176,0.6541820670409226,0.3738700602642382,0.0,
Vietnam,2712,2025-09-01,237761.0,2025,9,12.379025452320027,0.6905345350528531,1.5343594524019668,0.0,
Vietnam,2712,2025-10-01,109415.0,2025,10,11.602912410561387,-0.7761130417586415,0.5686035603351343,0.0,
Vietnam,2712,2025-11-01,93905.0,2025,11,11.450049560918558,-0.1528628496428297,-0.238441356348618,0.0,
Vietnam,2804,2020-01-01,1180110.0,2020,1,13.98111905981436,,,0.0,
Vietnam,2804,2020-02-01,595027.0,2020,2,13.296363742244065,-0.6847553175702945,,0.0,
Vietnam,2804,2020-03-01,441785.0,2020,3,12.998580880919208,-0.2977828613248565,,0.0,
Vietnam,2804,2020-04-01,432205.0,2020,4,12.976657605420383,-0.021923275498823,-1.004461454393974,0.0,
Vietnam,2804,2020-05-01,739228.0,2020,5,13.513363030141804,0.5367054247214185,0.2169992878977389,0.0,
Vietnam,2804,2020-06-01,1509438.0,2020,6,14.227248616580464,0.7138855864386606,1.228667735661256,0.0,
Vietnam,2804,2020-07-01,690677.0,2020,7,13.44542900282518,-0.7818196137552853,0.4687713974047938,0.0,
Vietnam,2804,2020-08-01,786136.0,2020,8,13.574886356477272,0.1294573536520928,0.0615233263354682,0.0,
Vietnam,2804,2020-09-01,1237746.0,2020,9,14.028803349467957,0.453916992990683,-0.1984452671125094,0.0,
Vietnam,2804,2020-10-01,415179.0,2020,10,12.936467440116786,-1.0923359093511689,-0.508961562708393,0.0,
Vietnam,2804,2020-11-01,773981.0,2020,11,13.55930389648749,0.6228364563707043,-0.0155824599897815,0.0,
Vietnam,2804,2020-12-01,967325.0,2020,12,13.78229084275079,0.2229869462632994,-0.2465125067171651,0.0,
Vietnam,2804,2021-01-01,498232.0,2021,1,13.118823118074998,-0.6634677246757921,0.1823556779582116,0.0,
Vietnam,2804,2021-02-01,995836.0,2021,2,13.811338868555383,0.6925157504803856,0.2520349720678929,0.0,
Vietnam,2804,2021-03-01,845261.0,2021,3,13.647401917452497,-0.1639369511028867,-0.1348889252982932,0.0,
Vietnam,2804,2021-05-01,735607.0,2021,5,13.508452647128967,-0.1389492703235291,0.3896295290539697,0.0,
Vietnam,2804,2021-06-01,720125.0,2021,6,13.487181475681524,-0.0212711714474433,-0.3241573928738592,0.0,
Vietnam,2804,2021-07-01,227848.0,2021,7,12.336438407830082,-1.150743067851442,-1.3109635096224146,0.0,
Vietnam,2804,2021-09-01,57931.0,2021,9,10.967025187920749,-1.369413219909335,-2.5414274592082204,0.0,
Vietnam,2804,2021-10-01,1112739.0,2021,10,13.922336000093168,2.9553108121724208,0.4351545244116437,0.0,
Vietnam,2804,2021-11-01,1933439.0,2021,11,14.47481135774039,0.5524753576472214,2.1383729499103072,0.0,
Vietnam,2804,2021-12-01,2753954.0,2021,12,14.82854861826796,0.3537372605275699,3.861523430347212,0.0,
Vietnam,2804,2022-01-01,1460160.0,2022,1,14.194057261577395,-0.6344913566905639,0.2717212614842275,0.0,
Vietnam,2804,2022-03-01,394800.0,2022,3,12.88613711946632,-1.3079201421110742,-1.5886742382740682,0.0,
